date,channel,schedule_item,GRPs,reach,frequency
2025-07-06,Online,Region military.,32.92,32.72,7.9
2025-04-25,Online,Model guy watch trial.,41.99,75.2,7.91
2025-04-30,Print,Section heart run.,137.97,77.54,6.29
2025-04-26,Online,Table will lose.,164.59,48.52,4.02
2025-06-19,Print,Election buy low.,34.93,37.84,3.5
2025-05-17,Online,Right story use by.,31.34,36.17,6.62
2025-07-08,Radio,Buy guess detail range despite.,69.94,97.91,3.84
2025-06-27,Print,Visit project.,73.17,66.72,1.87
V2XXgvzc,TV,Reflect common feel.,126.63,7.91,4.54
2025-05-03,Print,Heavy concern interesting hard culture.,169.53,23.56,10.0
2025-05-21,Print,Whom blood.,35.35,21.48,9.43
2025-04-24,TV,Example improve something east.,97.97,26.87,6.09
2025-07-03,Radio,Cost represent far class more.,49.08,88.87,5.07
2025-05-15,Radio,Small leg federal.,170.59,,1.8
2025-07-03,Online,Age oil million garden air.,189.68,99.14,7.55
2025-05-06,Print,Should girl treatment to.,166.06,57.96,7.17
2025-04-24,Online,Scientist offer.,196.88,78.32,1.85
2025-04-22,TV,Real team high no central.,185.03,80.62,3.94
2025-07-13,Radio,Administration long.,16.7,2.45,2.05
2025-06-01,Print,Democratic ground.,15.81,25.44,
2025-06-11,Online,Four type others.,128.29,69.42,4.8
2025-05-09,Online,Few fly behind.,121.39,98.75,5.54
2025-06-25,TV,List network church office.,175.72,57.57,9.59
2025-05-19,Print,Out stuff ask on.,115.2,39.87,6.27
2025-05-28,Online,Near occur involve prepare already.,84.31,86.1,8.31
2025-04-20,Radio,Try throughout three.,96.23,13.83,7.56
2025-05-19,Online,Military yeah suffer.,51.96,33.28,4.51
2025-05-20,Online,Common central better stand.,48.57,75.14,7.5
2025-06-02,Print,Agent power bill.,87.12,1.1,6.41
2025-05-10,TV,Whose wait successful because law.,23.93,66.18,1.86
2025-04-29,Radio,Walk everyone music.,83.9,10.26,8.33
2025-06-09,Radio,Three news line.,122.73,93.5,2.15
2025-04-15,Radio,Threat majority prevent hot.,111.65,97.86,9.63
2025-05-06,Online,My let.,177.52,85.11,5.06
2025-05-07,TV,Cultural color grow such.,110.11,99.17,1.1
2025-06-02,Print,Middle region investment.,184.75,63.01,5.99
2025-07-13,Online,Fund many performance.,185.41,73.63,1.68
2025-04-22,Print,Quickly remain.,45.87,62.95,6.79
2025-04-27,Print,Within hand around bill mission.,95.83,43.32,5.19
2025-04-16,Print,Throughout focus body fact TV.,96.84,79.12,9.76
2025-06-25,TV,Phone skill item.,38.47,11.37,5.08
2025-07-13,Online,Direction unit fine environmental leader.,,81.44,9.55
2025-06-20,Online,Reach southern civil.,92.2,92.66,6.13
2025-05-25,TV,Know either early its.,88.61,97.66,8.65
2025-06-04,Radio,Offer well building both likely.,141.72,75.07,2.92
2025-06-22,Radio,Her score blue political.,173.83,54.86,1.87
2025-05-20,Online,Money real line situation.,152.26,67.77,6.47
2025-06-12,TV,Nature international north low.,188.29,46.93,1.0
2025-05-05,Online,By night daughter.,54.54,6.77,1.57
2025-06-02,TV,Threat season produce tend.,139.4,40.98,9.14
2025-05-13,Print,Station sea.,90.09,7.84,6.24
2025-04-30,Print,Yourself media process.,175.82,15.22,5.33
2025-05-16,Print,Able five scene store.,175.03,10.62,9.45
2025-07-12,TV,Civil meeting say short.,110.22,32.47,1.57
2025-04-27,TV,Change lead do around.,66.43,38.51,1.38
2025-05-30,Radio,Between news keep record.,29.29,96.4,9.53
2025-06-19,Radio,Speech real where floor.,44.44,81.46,4.11
2025-05-31,Radio,Story trial save among.,163.14,87.53,3.01
2025-06-13,TV,Then book probably.,144.97,62.24,2.41
2025-04-25,Print,Garden condition.,194.61,35.71,4.22
2025-04-20,Online,Travel toward couple government kitchen.,19.59,56.91,1.22
2025-05-01,Print,Service five animal institution.,197.15,72.0,9.02
2025-05-28,Online,Window leave fall stage.,38.31,57.29,4.31
2025-06-11,Print,Traditional carry weight article.,30.8,75.15,1.13
2025-05-21,Radio,Trade tree better.,61.9,48.24,1.23
,Radio,Require head.,136.32,98.22,1.89
2025-04-20,Online,Eight staff why speak.,196.26,18.93,8.91
2025-05-27,Radio,Entire our skill important.,72.59,39.93,8.97
2025-06-03,,Range alone bar serve myself.,,99.41,8.12
2025-05-31,Radio,Table garden degree but usually.,46.85,90.16,3.3
2025-04-30,Online,World become forward now.,136.7,93.2,8.34
2025-05-05,TV,Whatever yet.,175.65,89.93,8.29
2025-05-03,Radio,Really between however pretty firm.,45.88,23.41,2.48
2025-06-27,Radio,5kdz4jjc,118.47,9.46,3.17
2025-06-24,TV,Fund want necessary top hundred.,79.85,4.23,8.75
2025-06-02,Radio,Thousand strategy serious organization perform.,89.45,81.0,6.8
2025-05-04,Radio,Than message point.,72.42,30.95,8.39
2025-06-08,Online,wytYJGCx,86.98,79.49,2.43
2025-04-17,Online,Most effect yet.,120.32,24.65,3.19
2025-05-10,Radio,Goal foreign pretty event.,51.84,49.13,5.77
2025-06-28,Radio,Deal happy material.,179.54,82.47,6.95
2025-07-02,TV,Work with right difference.,122.72,87.29,5.04
2025-05-28,Print,Behavior worker table likely.,79.47,90.69,1.39
2025-05-17,Print,Artist factor capital trade want.,120.93,68.96,4.86
2025-05-14,TV,Various entire agreement sometimes.,125.16,86.59,9.41
2025-05-26,Online,Industry then political central.,42.7,70.39,9.94
2025-06-25,TV,Action experience make.,137.31,28.94,
2025-05-29,Radio,Commercial lawyer.,171.54,43.11,9.02
2025-05-30,TV,Son consider way pressure between.,174.58,9.26,6.96
2025-07-13,Print,Once south PM thank.,52.06,72.42,1.04
2025-07-06,Online,Kind become wrong happy girl.,45.72,7.53,2.38
2025-06-04,Print,Country teach design.,62.53,93.19,9.42
2025-04-16,Online,Within like government record sport.,122.49,98.14,7.04
2025-05-21,Radio,Network easy give.,14.03,15.11,2.57
2025-06-01,Online,Man article southern budget happen.,63.48,26.2,5.49
2025-05-28,Print,Sure site community laugh difficult.,100.41,51.49,9.24
2025-07-06,TV,Generation figure later.,161.91,64.14,6.31
2025-07-10,TV,Its second important.,195.94,6.49,2.83
2025-05-03,Online,Church real surface two.,118.7,23.19,8.43
2025-04-16,Print,Box scene school where.,,50.58,5.84
2025-05-08,Print,Event west.,61.81,57.21,2.36
2025-06-30,Online,Find deep.,175.84,59.67,2.66
2025-05-14,Radio,On few production cover hundred.,157.67,86.49,4.35
2025-04-26,Online,True visit major.,67.33,67.5,7.31
2025-05-03,Radio,Always week market so manager.,97.41,44.34,5.25
2025-06-05,TV,Style expert thousand appear.,87.02,73.87,4.3
2025-04-26,Online,Benefit final writer ball.,58.16,31.24,7.74
2025-04-15,Print,Cover method.,13.14,55.65,1.92
2025-05-18,Radio,Goal sing over.,109.92,71.24,8.54
2025-07-09,Radio,Parent generation north.,179.1,70.38,6.12
2025-05-09,Online,Arrive attack.,101.43,75.48,7.74
2025-05-27,Print,Behavior above.,144.71,34.15,6.04
2025-05-28,Online,Research she ahead smile system.,163.66,76.16,8.16
2025-06-05,Print,Measure attention former however feel.,25.94,72.24,3.66
2025-07-01,Online,,190.62,89.25,1.97
2025-04-16,TV,Stay field still individual.,155.59,81.35,7.2
2025-06-15,Radio,Deal than forward action more.,184.52,95.04,4.16
2025-06-10,TV,Everyone memory name position.,192.73,24.79,5.28
2025-05-11,Online,Go medical talk will.,192.91,89.2,8.76
2025-04-23,Radio,Reveal exist we land.,125.68,70.83,5.9
2025-05-27,Print,Debate model include resource.,183.26,17.96,3.75
2025-07-05,Print,Sit scene.,39.34,32.32,1.07
2025-05-22,Print,Low as tree military including.,21.88,7.9,6.32
2025-06-17,TV,Exactly much speak.,157.13,36.19,8.68
2025-06-24,Print,Run including box.,84.46,99.86,3.34
2025-05-01,Online,Quality attack reduce entire.,110.69,74.48,2.64
2025-05-08,Online,Message shoulder.,172.0,52.99,8.22
2025-04-17,Radio,Some test imagine.,3sgXiRdZ,42.54,6.71
2025-05-22,Radio,Religious government.,67.6,65.38,2.03
2025-05-13,TV,Commercial boy evening edge piece.,28.67,45.69,7.55
2025-07-07,Online,Could future.,64.17,44.38,4.57
2025-07-07,Print,Cut eat in specific event.,154.31,60.44,5.66
2025-04-19,Print,Free half give drop.,55.17,71.04,8.92
2025-07-07,Radio,Least successful forget television.,194.78,47.33,2.31
EsUxyGKE,TV,Seven bring.,62.82,48.52,7.36
2025-06-20,Radio,Along herself many since.,19.79,64.89,1.98
2025-05-06,TV,Environmental now message yourself wish.,146.82,70.78,6.53
2025-05-06,Print,Drug it beautiful about anyone.,42.15,12.05,4.13
2025-05-22,Online,Act born difficult.,196.45,17.65,3.79
2025-07-03,Online,Affect sign black check.,25.03,27.28,4.14
2025-06-17,Online,Cause wide deep.,179.87,83.03,2.81
2025-06-01,Online,Author group role white.,98.37,55.69,5.18
2025-06-02,Radio,Pretty treatment former along officer.,168.7,47.92,9.07
2025-05-17,TV,Tv girl bar.,121.8,64.05,2.4
2025-06-04,TV,Good reason.,12.67,44.5,4.28
2025-04-16,Print,Know blood right.,156.79,2.7,2.86
2025-05-05,Print,Quite environment personal low.,55.52,30.26,4.66
2025-05-17,Online,Major instead politics.,58.5,70.22,8.37
2025-05-23,Radio,Successful billion strategy.,120.12,8.73,8.47
2025-05-10,Online,Low something size item.,47.06,58.4,7.95
2025-06-11,Print,Some into author we.,161.19,81.73,8.05
2025-05-04,Print,Certain majority sign.,34.89,87.7,4.22
2025-05-29,Radio,Assume fly key.,82.9,97.56,8.77
2025-04-30,Online,Everybody order must interview.,107.96,69.79,1.64
2025-06-14,Print,Even since rise speak.,64.61,91.33,3.07
2025-06-12,TV,Option room not.,121.94,86.41,1.25
2025-05-12,Radio,Resource interview information.,89.49,72.29,5.47
2025-07-05,Print,Whether new leg common.,146.62,84.45,1.32
2025-07-05,Print,Development memory woman use lose.,96.54,39.18,8.0
2025-04-22,Print,Nation glass moment.,12.5,35.7,2.23
2025-07-02,TV,Bad perhaps sure notice rise.,181.82,62.61,8.19
2025-06-04,TV,Best doctor away.,120.83,38.65,9.22
2025-07-01,TV,Center time near half.,111.37,2.18,9.4
2025-06-26,Print,Book action radio.,41.54,89.25,4.55
2025-06-07,Print,Church dream try or shake.,137.45,7.59,9.42
2025-04-29,Radio,Coach into way remember.,42.72,81.83,2.89
2025-06-14,Radio,Yeah law scene raise.,79.37,21.11,1.15
2025-06-29,TV,Purpose Republican specific pick.,52.31,45.09,8.78
2025-05-03,Radio,Bar well father form.,32.93,,7.47
2025-05-28,TV,Return mention stock prepare.,79.33,83.08,3.37
2025-07-03,TV,Must lay move strong.,75.36,,7.02
2025-04-18,Radio,Many issue outside instead.,153.08,59.49,5.26
2025-06-20,TV,Start much study list improve.,96.68,68.66,9.3
2025-05-18,Online,Follow sometimes prepare institution.,173.56,25.73,1.17
2025-07-05,TV,Ready himself affect.,77.77,46.23,2.43
2025-06-16,Print,Drop apply may.,22.07,45.05,7.53
2025-06-27,Print,Spring economic newspaper building.,48.23,25.56,6.8
2025-05-23,Print,Tell behind figure.,160.04,70.12,9.16
2025-05-25,Radio,How south attention.,196.28,24.27,8.17
2025-06-22,Radio,Job practice focus do.,92.84,61.58,3.62
2025-07-02,TV,Indeed politics speech begin century.,103.92,87.31,6.3
2025-06-15,Radio,Beat day second too economy.,38.18,91.58,5.05
2025-06-21,TV,Brother crime go.,86.72,26.69,4.95
2025-06-09,Print,Head about.,60.89,94.91,2.74
2025-06-04,Radio,Grow type safe.,21.91,84.11,7.55
2025-07-03,TV,Feel in sing anyone claim.,27.24,19.47,6.73
2025-07-07,Print,Again want music.,166.82,74.06,8.37
2025-04-19,TV,Candidate mention forward you recognize.,31.23,44.81,1.67
2025-06-08,Online,Able economy stand data.,17.86,84.29,3.26
2025-04-23,Online,Church education simply.,113.94,49.58,3.49
2025-06-29,Radio,The popular together.,76.98,94.76,4.97
2025-04-23,Online,Let kitchen.,151.3,56.25,5.59
2025-06-20,TV,Pm upon too.,191.6,79.48,5.15
2025-06-13,Online,Use page may.,28.02,70.09,2.12
2025-05-03,TV,Pm indeed.,157.49,89.45,3.52
2025-06-21,Print,Probably billion strategy.,97.44,18.0,4.33
2025-04-27,Radio,Wide best foot necessary.,50.42,62.95,2.47
2025-05-21,Radio,Morning civil arrive.,190.8,16.41,1.46
2025-04-24,TV,Benefit believe require herself voice.,180.32,13.07,7.14
2025-06-14,Print,Issue guy early campaign.,19.95,2.99,7.99
2025-07-09,Online,Word live bill teach movement.,183.5,15.77,9.65
2025-05-21,Online,Though another realize.,19.24,0.85,9.6
2025-04-30,Radio,Program huge.,35.71,63.51,3.13
2025-05-02,Print,Several travel according.,154.38,29.59,2.18
2025-04-22,Radio,Tonight deal.,81.65,70.46,8.31
2025-05-30,Print,Center statement data adult.,35.65,50.14,1.26
2025-04-28,TV,Simply movement how court.,117.97,35.33,5.33
2025-07-08,Radio,Natural likely.,107.63,9.06,6.72
2025-05-23,Online,Move stuff people.,166.56,14.89,2.91
2025-05-05,TV,Lead could citizen.,44.97,67.65,6.2
2025-04-21,Online,Me write look hear.,91.43,34.7,1.15
2025-06-20,TV,Minute chance gas condition.,114.93,70.2,7.97
2025-04-23,Radio,Note marriage himself.,157.69,59.81,8.64
2025-05-24,Radio,Near cut however necessary.,148.65,11.72,5.27
2025-06-17,Print,See young.,124.21,11.23,7.33
2025-05-09,Print,Without interview notice.,114.45,13.24,1.72
2025-06-22,TV,Not cold finally.,10.55,36.7,9.19
2025-05-20,Radio,People good sport.,45.61,78.51,3.03
2025-05-12,Radio,Past condition computer poor.,Qh2TtnO6,38.03,1.26
2025-07-04,Online,Reflect several start wonder produce.,161.38,1.04,9.28
2025-07-01,Online,Fall either month.,97.33,42.67,8.0
2025-05-09,Radio,Perform catch actually system.,135.77,31.95,7.3
2025-06-16,Radio,Energy arm.,133.08,56.74,6.31
2025-06-17,Radio,Want top politics across fear.,175.45,24.51,6.16
2025-04-17,TV,Sea woman property.,154.88,24.96,6.91
2025-04-15,,His worry.,124.49,61.09,1.53
2025-05-03,Print,Third then.,18.92,35.69,4.48
2025-05-05,Radio,None start behavior real.,66.35,,6.03
2025-06-30,Radio,Degree player might.,199.55,22.96,5.63
2025-06-01,Online,Color teach.,162.54,63.54,2.96
2025-07-02,Online,Down enjoy relationship its.,168.73,77.18,1.8
2025-06-18,Print,Little hit yard million break.,95.45,47.95,6.95
2025-05-04,Print,Every space others son.,180.22,40.52,9.13
2025-06-26,Radio,Pm nothing generation.,15.6,60.61,1.82
2025-05-22,Print,Commercial look later.,157.75,35.2,1.07
2025-05-05,Print,Partner enough.,63.72,71.69,3.42
2025-05-16,Print,Security yourself including between station.,88.31,38.67,4.91
2025-06-23,Print,Since worker hundred.,140.0,49.34,8.85
2025-06-11,,Debate prove easy game quite.,71.95,84.68,8.39
2025-06-29,Print,Pull Democrat may point democratic.,48.7,22.88,2.83
2025-06-03,Radio,Part let thing national.,40.1,98.89,1.34
2025-05-29,Radio,Start later more man.,23.84,1.66,8.39
2025-05-22,Radio,Bill bank.,116.23,66.97,1.92
2025-07-01,TV,Attorney water receive.,79.75,80.58,3.79
2025-04-23,TV,Push stuff reality.,165.12,78.65,5.62
2025-06-16,TV,Edge century development choose five.,149.77,18.81,6.91
2025-05-11,Radio,Stay according again choice less.,174.03,42.99,9.12
2025-05-13,Print,Draw report effect forward.,26.51,95.7,2.6
2025-06-07,Print,Professor trip list good.,137.14,49.35,9.0
2025-06-21,Online,Interesting carry thing paper.,155.33,21.17,7.08
2025-05-10,Print,Morning region five.,90.73,9.87,1.77
2025-06-25,Print,Police easy stop pressure.,157.77,94.23,3.98
2025-05-04,Print,Student area one.,46.42,39.57,4.6
2025-06-10,Online,Across or still.,131.88,5.87,6.53
2025-07-06,TV,Fear day class.,173.54,46.22,7.03
2025-05-21,TV,Kitchen very community.,178.13,76.86,PPsI8o1F
2025-06-05,Radio,Forward oil least budget increase.,93.97,76.44,9.31
2025-06-19,Print,Industry beautiful newspaper.,193.2,3.17,3.2
2025-04-23,Print,Coach religious.,17.15,16.52,4.97
2025-06-25,Radio,Clear situation several others although.,177.55,96.84,7.59
2025-06-14,TV,Blood kid sign report medical.,77.29,31.02,8.58
2025-05-11,TV,Military tell worker current.,10.9,85.61,3.41
2025-05-20,Online,Culture keep.,73.38,23.92,6.16
2025-05-14,Radio,,166.16,45.58,9.24
2025-07-09,Radio,Start entire how.,138.52,56.22,7.61
2025-04-26,Print,Technology avoid all hair.,190.24,49.41,9.2
2025-05-29,Print,Require painting ahead.,70.35,4.57,2.35
2025-07-13,Online,Success laugh finally.,101.26,54.29,7.26
2025-06-03,TV,Use nothing responsibility key.,83.93,21.64,6.93
2025-06-08,Print,Prove point final billion.,36.43,18.48,7.17
2025-06-25,Print,Leader age collection.,29.99,62.65,5.39
2025-07-05,Print,Role important company any.,170.58,17.58,1.29
2025-05-04,Print,We commercial series environmental the.,94.8,63.94,3.66
2025-05-23,Print,Ground bad view.,62.34,57.82,7.68
2025-05-19,TV,Make society which find.,120.72,0.87,7.22
2025-04-18,Print,Long off culture camera.,42.45,67.06,3.45
2025-07-13,TV,Project follow.,85.33,45.2,9.59
2025-07-01,Radio,Product chance enough.,188.0,71.16,8.77
2025-05-09,Online,Season network look smile.,127.71,57.41,2.13
2025-05-28,Online,Air west her wide would.,159.36,30.32,9.46
2025-06-09,Print,Down add girl painting order.,43.31,69.43,2.27
2025-05-29,Print,Fact firm surface rule.,147.53,75.98,4.24
2025-04-19,Radio,Past pattern difference.,100.47,69.69,1.51
2025-05-09,Radio,Reach hospital.,112.94,41.6,8.94
2025-06-11,Online,Soon protect agree next.,132.5,7.37,m532lIm0
2025-05-28,Print,Adult author ahead.,89.04,19.93,2.24
2025-06-08,Print,Term him goal.,56.58,28.57,5.69
2025-04-17,Print,Everyone term.,101.26,89.64,3.77
2025-05-09,Print,Yeah market put clearly.,137.94,10.83,7.92
2025-05-15,Print,Laugh other special.,52.72,72.38,8.6
2025-05-09,Print,Send third.,14.94,37.73,2.22
2025-05-15,Print,Itself evening apply.,89.55,99.75,9.73
2025-05-01,Print,Author today.,90.5,77.8,3.85
2025-06-06,Radio,Good executive lot way finally.,159.84,22.82,1.7
2025-06-16,TV,Professional often happy.,158.46,73.99,5.64
2025-04-26,Online,Minute stay lose.,95.4,25.32,6.55
2025-07-05,Online,West poor two because.,181.97,13.28,3.91
2025-06-24,Online,Through tough when very.,141.84,37.74,5.12
2025-06-02,Radio,Speech address item wrong.,100.42,18.09,5.15
2025-06-09,Radio,Be operation smile.,131.91,20.11,4.38
2025-04-16,Print,Just identify low beautiful.,125.67,37.45,6.26
2025-05-20,Online,Wonder reach gas north.,157.29,35.0,3.76
2025-05-31,Print,Citizen dream.,83.32,66.0,7.43
2025-06-27,Radio,Question author reach.,119.06,78.89,6.27
2025-06-20,TV,Establish large quickly themselves.,137.2,6.5,7.33
2025-05-06,Print,Require chance magazine exactly.,156.84,55.18,2.21
2025-04-21,Radio,Figure bill view sell structure.,12.28,64.22,6.8
2025-05-22,Print,Fish second.,12.79,45.97,1.46
2025-04-29,Radio,Wish subject a.,149.97,15.85,3.39
2025-06-05,Radio,Increase weight buy action capital.,146.02,54.53,4.73
2025-06-11,Radio,Method trouble.,87.47,66.68,5.97
2025-06-03,Print,Traditional all.,50.45,55.51,6.96
2025-05-15,Print,Brother during.,149.01,72.61,1.69
2025-05-03,Radio,Crime best company meet.,66.19,22.65,4.58
2025-05-27,TV,Word student never high dream.,117.02,2.63,4.03
2025-05-16,Radio,Like physical serve threat try.,156.73,11.25,6.54
2025-05-02,Radio,Everybody program up movement into.,110.87,55.54,6.81
2025-05-03,Print,President almost company government woman.,83.02,23.12,3.93
2025-06-10,Radio,Research minute glass business improve.,80.12,36.23,5.42
2025-04-15,Print,Large challenge.,77.35,6.94,9.1
2025-06-09,Online,Part forward animal.,141.02,64.0,6.48
2025-06-30,TV,Practice north report whole traditional.,16.65,35.82,9.81
2025-05-05,Print,Hair short memory usually.,31.85,42.34,8.41
2025-04-19,Online,Assume very.,47.95,16.36,8.65
2025-07-08,TV,Blue day.,196.17,37.5,5.76
2025-04-19,Radio,Better same.,172.57,13.8,9.06
2025-06-05,Print,Far last clear continue.,19.96,62.15,1.32
2025-06-08,Radio,Account stuff main final.,38.01,2.27,1.36
2025-04-18,Print,Son left door.,102.62,36.0,4.73
2025-05-10,Print,Choice technology special probably.,66.05,18.64,2.73
2025-05-05,Print,Position ground against set at.,134.16,40.61,5.51
2025-05-02,Radio,Western item.,20.72,78.57,2.96
2025-05-18,TV,Husband available day.,22.33,23.68,7.37
2025-05-18,Radio,Brother age sing.,,0.45,8.73
2025-07-11,TV,None pressure reveal prepare.,195.18,39.35,6.75
2025-05-31,Online,,165.07,25.12,4.84
2025-06-25,Radio,Animal against tend official.,136.52,1.0,9.88
2025-04-27,TV,Participant these wait.,65.85,69.99,8.32
2025-05-15,Online,News simply treatment career federal.,76.74,29.73,9.02
fFgSCJAT,Radio,If see choose site.,141.5,97.17,5.79
2025-06-21,Print,Certainly couple.,192.59,79.44,9.38
2025-04-25,Online,International citizen.,45.85,67.23,8.22
2025-07-06,Radio,Along mean property military.,168.47,29.58,5.49
2025-05-24,TV,Remember happen.,92.68,65.88,7.38
2025-07-12,TV,Woman all manage.,178.42,64.5,7.88
2025-05-26,TV,Ahead hospital others democratic.,46.94,34.24,6.97
2025-05-24,Print,Health beat matter alone.,113.47,35.01,7.3
2025-04-25,Print,Reduce red fund.,168.93,58.46,1.42
2025-06-17,TV,A focus short exist.,160.96,24.05,7.41
2025-05-05,Online,Weight because surface town.,94.11,30.54,4.51
2025-04-18,Radio,Reason term store.,85.93,66.5,9.07
2025-06-18,Radio,Necessary physical hotel reach hold.,167.77,8.79,4.31
2025-06-26,Online,Difficult part authority likely.,130.16,17.8,8.68
2025-05-04,Print,College if out consider.,194.82,67.34,
2025-04-15,TV,Newspaper chair including it.,176.22,9.16,7.67
2025-06-24,Online,Quite but into.,94.28,14.31,9.02
2025-05-20,TV,Back remain.,50.87,13.01,4.04
2025-06-27,TV,Environmental church true.,55.48,46.91,6.92
2025-05-04,Radio,Economy his full official.,103.75,52.13,8.65
2025-06-06,Radio,Plant be use always.,194.96,10.56,4.4
2025-05-01,Online,Writer nature born.,13.34,94.56,9.78
2025-06-28,Radio,Teach other woman hear.,97.87,92.4,7.02
2025-04-30,Print,Believe cut billion every.,24.35,20.21,3.68
2025-04-19,Online,Head difference high.,47.26,0.55,1.26
2025-04-29,TV,Indeed dream imagine.,151.6,29.89,1.33
2025-06-28,Online,Hold rate matter create.,180.05,12.23,6.96
2025-07-09,Print,Level image pick lot.,157.0,15.06,8.01
2025-05-07,Online,Animal admit house score leave.,40.67,61.24,7.75
2025-04-20,Print,Fly culture court.,,95.33,9.09
2025-07-12,Online,Those toward deep spend economy.,174.19,14.39,2.46
2025-04-17,Online,Sound remain he.,184.01,80.68,1.7
2025-05-31,TV,Phone bring.,120.01,42.96,7.24
2025-04-24,Print,Nothing experience garden science.,88.23,78.26,5.71
2025-07-05,Print,Total trial see.,139.73,87.39,3.25
2025-05-30,Print,Social behavior person military give.,40.6,65.78,6.24
2025-04-20,Radio,Condition edge partner.,82.55,74.72,3.8
2025-06-01,TV,Television exactly be with land.,197.43,39.47,8.29
2025-06-02,Radio,Also defense significant.,41.79,12.95,9.5
2025-05-14,Radio,What arrive heart course Congress.,170.67,80.8,3.46
2025-04-27,Online,Worker audience budget town rather.,135.79,20.21,3.76
2025-06-27,Print,That him site heart.,14.4,18.41,7.53
2025-06-03,Online,Lead nearly song cold.,42.84,29.65,7.45
2025-05-08,Online,Teach step visit challenge board.,103.01,49.14,7.8
2025-05-27,TV,Material establish material.,193.74,96.8,9.8
2025-06-17,Print,Left whole every administration.,38.92,8.73,5.16
2025-04-20,Online,Theory hit.,23.97,32.85,1.48
2025-04-19,TV,Conference edge safe everyone.,80.57,94.25,5.68
2025-05-07,Radio,Trip indicate my among listen.,113.78,0.42,2.37
2025-05-20,TV,Stop economic view organization.,169.67,74.12,4.93
2025-06-12,Print,Gas specific.,116.26,17.33,2.93
2025-05-13,TV,Body thing little.,106.5,91.23,6.06
2025-04-17,Online,Support person learn history image.,126.46,32.61,8.71
2025-06-24,Z9kUZxDl,Center if would now.,138.85,50.24,8.95
2025-06-04,TV,Interest now.,180.04,79.41,6.08
2025-04-30,Online,Kind light in fund general.,97.13,36.88,6.44
2025-04-16,Print,Voice begin sound suffer.,130.06,64.3,8.46
2025-04-26,Print,Amount continue certain dark.,136.26,61.08,1.7
2025-07-01,Print,Far prevent significant practice.,44.5,57.59,3.78
2025-06-30,TV,Special save.,174.84,98.68,9.68
2025-07-11,TV,Even statement environment quickly.,181.21,17.99,2.87
2025-07-02,Radio,Election together.,199.78,9.03,9.46
2025-04-22,Online,Media radio work behavior.,72.35,42.22,6.86
2025-06-20,Online,A value wife improve.,94.53,44.06,8.76
2025-06-12,Online,Set cover young case time.,13.37,14.86,3.73
2025-07-05,Online,Common actually authority meeting these.,162.59,86.17,6.0
2025-07-03,TV,Help world environmental leave.,199.74,54.21,MmqsuBYj
2025-05-23,Online,Popular avoid father place.,108.17,34.55,8.43
2025-04-28,Radio,Marriage present month.,178.39,40.94,8.75
2025-06-16,TV,Poor success.,27.56,91.37,7.97
2025-07-13,Online,Home cut.,18.82,24.46,1.22
2025-05-03,TV,Not peace always.,190.96,59.58,8.52
2025-07-04,Radio,Could way quality ball.,71.44,45.89,8.6
2025-04-19,Radio,Out task ground see same.,67.95,19.08,3.76
2025-06-10,Online,According window.,140.46,88.89,8.98
2025-06-25,TV,War beautiful.,144.96,4.13,1.84
2025-06-27,Print,Note debate agreement.,28.04,1.99,7.56
2025-07-13,Print,Image something with.,154.59,10.48,5.13
2025-05-18,Print,Receive picture else whatever light.,90.69,43.64,5.3
2025-07-06,TV,Air moment amount.,144.94,5.34,8.19
2025-05-23,Print,Nice conference leave.,21.3,53.18,9.07
2025-07-13,Print,Pressure social.,144.65,99.74,9.8
2025-05-16,Online,Project lead forget billion.,29.42,2.11,6.74
2025-05-15,Online,Trouble wife best store allow.,51.65,35.5,6.16
2025-06-17,Radio,Various a religious class.,98.2,96.46,9.37
2025-07-04,TV,Child according get hand.,165.14,97.19,3.12
2025-06-10,Print,Test dog though.,16.48,28.04,9.65
2025-04-21,Radio,After through form hour.,118.46,97.36,8.43
2025-06-25,Online,Benefit act war goal development.,193.46,79.72,6.85
2025-05-16,TV,Mission conference.,150.31,46.84,4.0
2025-04-22,Radio,Treat own character account.,28.1,85.36,5.48
2025-06-12,TV,I apply stock project.,31.21,92.84,9.33
2025-06-16,TV,Minute maybe more.,44.84,77.75,1.07
2025-05-09,Print,Despite deep society fine.,199.92,70.17,5.84
2025-04-15,Print,Recently who parent.,62.66,65.21,2.42
2025-06-24,Online,Person positive.,133.59,31.52,2.17
2025-06-09,TV,War perform case.,87.57,72.63,3.25
2025-06-03,Online,Consider there allow.,146.29,86.66,8.36
2025-05-09,TV,Main night.,64.5,19.26,5.34
2025-05-02,Online,Place thus TV trial identify.,30.46,14.42,9.17
2025-04-28,Online,Money say whole trip.,46.07,36.66,9.42
2025-05-24,Radio,Important all price.,10.37,28.75,7.54
2025-04-21,Radio,Poor lawyer Republican close.,60.84,50.28,3.45
2025-07-12,Online,Into image citizen assume majority.,17.94,64.67,7.62
2025-06-20,Online,Hard build go man.,29.0,77.41,3.27
2025-05-08,Radio,Treatment fine thought.,190.57,31.09,4.55
2025-06-02,TV,Good owner exist.,57.17,49.77,1.48
2025-04-21,TV,Another arrive wall find cell.,39.21,23.82,3.44
2025-06-12,Online,Until half lose so hear.,190.86,8.8,5.62
2025-06-15,Print,Top bit push poor threat.,193.66,48.1,7.53
,Radio,Change past establish ten trade.,95.38,0.7,3.11
